Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
28-12-2012,INDUS TOWERS,4533.6,2.84,0.1,0.06,220,200,191.2,-13.09,276.2,25.55
27-12-2012,PC Jeweller,609.3,7.33,18.12,1.68,135,137,74.5,-44.81,24.65,-81.74
26-12-2012,CARE Ratings,539.98,45.8,110.96,6.18,750,940,923.95,23.19,629.05,-16.13
06-12-2012,Tara Jewels,0,1.49,3.1,2.05,230,242,229.95,-0.02,0.76,-99.67
18-07-2012,VKS Projects,55,1.15,0.38,1.13,55,55.8,1.57,-97.15,0.04,-99.93
30-05-2012,Speciality Rest,181.96,4.68,2.19,0.55,150,153,160.65,7.1,94.35,-37.1
09-05-2012,Tribhovandas,210,1.29,1.91,0.68,120,115,111.2,-7.33,78.8,-34.33
12-04-2012,MT Educare,99,6.01,8,2.17,80,86.05,90.35,12.94,8.39,-89.51
12-04-2012,NBCC (India),127.2,7.07,1.7,3.4,106,100,6.47,-93.9,43.6,-58.87
28-03-2012,Olympic Cards,25,0,3.43,1.36,30,29.95,28.5,-5,3.82,-87.27
09-03-2012,MCX India,663.31,49.12,150.35,24.14,1032,1387,1297.05,25.68,"1,646.40",59.53
02-11-2011,Indo Thai Secu,33.6,0,0.02,3.31,74,76,23,-68.92,144,94.59
24-10-2011,Vaswani Ind,49,0.16,11.29,6.82,49,33.45,17.75,-63.78,14.18,-71.06
20-10-2011,Ujaas Energy,93,1.03,1.56,2.35,186,180,31.76,-82.92,3.42,-98.16
19-10-2011,Flexituff Ventu,104.63,0.51,1.55,1.55,155,155,166.4,7.35,20.05,-87.06
19-10-2011,Taksheel Solut,82.5,0.24,4.7,6.18,150,157.4,58.15,-61.23,3.85,-97.43
17-10-2011,Onelife Capital,36.85,1.02,0.93,2.32,110,115,145.9,32.64,11.82,-89.25
04-10-2011,Setubandhan Inf,60,0.31,2.76,4.68,138,145,22.95,-83.37,1.35,-99.02
26-09-2011,PG Electroplast,120.65,0.98,1.84,1.64,210,200,411.65,96.02,614.8,192.76
16-09-2011,SRS,227.5,0.74,5,0.29,58,55,16.83,-70.98,0.19,-99.67
08-09-2011,TD Power System,227,6.52,0.32,0.36,256,251.6,274.8,7.34,393.85,53.85
05-09-2011,Brooks Labs,63,0,2.82,3.36,100,110,50.2,-49.8,104.1,4.1
26-08-2011,Tree House,112.06,1.02,1.68,2.76,135,132.8,116.55,-13.67,8.53,-93.68
12-08-2011,L&T Finance,1245,1.93,6.18,9.61,52,53.85,46.46,-10.65,79.4,52.69
09-05-2011,Paramount Print,45.83,0.33,3.28,9.31,35,35,26.65,-23.86,0.82,-97.66
